Gene	HGNC_ID	ENTREZ_ID
HNRNPU	HGNC:5048
HSD17B10	HGNC:4800
HSPA9	HGNC:5244
HSPD1	HGNC:5261
HUWE1	HGNC:30892
HYPK	HGNC:18418
IARS	HGNC:5330
IGBP1	HGNC:5461
ILF3	HGNC:6038
IMP3	HGNC:14497
IMP4	HGNC:30856
INTS1	HGNC:24555
INTS3	HGNC:26153
INTS8	HGNC:26048
INTS9	HGNC:25592
IPO13	HGNC:16853
ISCU	HGNC:29882
ISG20L2	HGNC:25745
KANSL3	HGNC:25473
KARS	HGNC:6215
KAT8	HGNC:17933
KIF11	HGNC:6388
KIF23	HGNC:6392
KPNB1	HGNC:6400
KRI1	HGNC:25769
KRR1	HGNC:5176
LARS	HGNC:6512
LAS1L	HGNC:25726
LONP1	HGNC:9479
LRR1	HGNC:19742
LSG1	HGNC:25652
LSM11	HGNC:30860
LSM12	HGNC:26407
LSM2	HGNC:13940
LSM7	HGNC:20470
LUC7L3	HGNC:24309
MAD2L1	HGNC:6763
MAGOH	HGNC:6815
MAK16	HGNC:13703
MARS	HGNC:6898
MARS2	HGNC:25133
MASTL	HGNC:19042
MCM3	HGNC:6945
MCM3AP	HGNC:6946
MCM4	HGNC:6947
MCM5	HGNC:6948
MCM7	HGNC:6950
MDN1	HGNC:18302
MED11	HGNC:32687
MED12	HGNC:11957
MED18	HGNC:25944
MED27	HGNC:2377
MED30	HGNC:23032
MEPCE	HGNC:20247
METTL16	HGNC:28484
MMS22L	HGNC:21475
MPHOSPH10	HGNC:7213
MRP63	HGNC:14514
MRPL18	HGNC:14477
MRPL28	HGNC:14484
MRPL38	HGNC:14033
MRPL4	HGNC:14276
MRPL43	HGNC:14517
MRPL45	HGNC:16651
MRPL46	HGNC:1192
MRPL53	HGNC:16684
MRPS14	HGNC:14049
MRPS24	HGNC:14510
MRPS34	HGNC:16618
MSTO1	HGNC:29678
MTG2	HGNC:16239
MVK	HGNC:7530
MYBBP1A	HGNC:7546
MYC	HGNC:7553
NAA10	HGNC:18704
NAA38	HGNC:20471
NAA50	HGNC:29533
NAMPT	HGNC:30092
NAPA	HGNC:7641
NARFL	HGNC:14179
NARS	HGNC:7643
NAT10	HGNC:29830
NCBP1	HGNC:7658
NCBP2	HGNC:7659
NDC80	HGNC:16909
NDUFA13	HGNC:17194
NEDD8	HGNC:7732
NELFB	HGNC:24324
NHP2	HGNC:14377
NHP2L1	HGNC:7819
NIP7	HGNC:24328
NKAP	HGNC:29873
NLE1	HGNC:19889
